N_ref,k_dim,roc_auc,explained_var_pct,latency_us
50,1,0.7638030283751114,6.309503712537942,18.52827096015959
50,5,0.841200152691182,24.236414222165333,18.289803905801023
50,10,0.8561043389744242,41.984864510963774,20.176541880304377
50,20,0.8642997836874919,66.3950016743259,20.635828878830143
50,30,0.8719348517623109,82.6268800971232,21.36887698608605
50,40,0.8767604020867795,93.71850212519206,22.900606083904464
100,1,0.7938097974822113,4.781077697793474,19.32839189902251
100,5,0.8481185002736726,18.900494315546105,18.64569315896843
100,10,0.8508322386425835,32.91874807856499,20.365656203764203
100,20,0.8650030103995621,52.84119430299149,19.58669128857016
100,30,0.8676964969896004,66.81569962623038,21.767023995573773
100,40,0.8745093048713739,76.94529199484427,21.290240289433385
200,1,0.7891177784870731,3.9162592296964354,18.02027946758175
200,5,0.8456591126715608,15.372468933778546,18.937964068573272
200,10,0.8583721672518352,26.7062312017453,19.03940122314318
200,20,0.866855410150016,43.630490662708056,20.018363271109358
200,30,0.8721034152569421,56.03426668454225,22.372375233117452
200,40,0.8783147143313117,65.41376514287157,22.1418363215056
