dataset,model,method,source,n_seeds,mean_auc,std_auc,ci95_low,ci95_high,embedder
Wild,Qwen3-Embedding-8B,A1b_cosine_whitened,E2d/E2q,5,0.82439984375,0.006406324823305475,0.8164453408561024,0.8323543466438975,
Wild,Qwen3-Embedding-8B,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.8012010937499999,0.012988333042659873,0.7850739482142488,0.817328239285751,
Wild,Qwen3-Embedding-8B,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.803321875,0.0106183137854597,0.7901374970509639,0.816506252949036,
Wild,Qwen3-Embedding-8B,B1_discriminant_mean_raw,E2d/E2q,5,0.8746640625,0.009010368630576993,0.8634762121608679,0.885851912839132,
Wild,Qwen3-Embedding-8B,B1b_discriminant_mean_whitened,E2d/E2q,5,0.822446875,0.006883043479204583,0.8139004477138005,0.8309933022861995,
Wild,Qwen3-Embedding-8B,C1_logreg_raw,E2d/E2q,5,0.8846662500000001,0.008278218294556158,0.874387484374378,0.8949450156256222,
Wild,Qwen3-Embedding-8B,C1b_logreg_whitened,E2d/E2q,5,0.81995296875,0.007096103284460407,0.81114199277415,0.82876394472585,
Wild,all-mpnet-base-v2,A1_naive_cosine_raw,E2d/E2q,5,0.78456890625,0.0046281124517153546,0.7788223456390665,0.7903154668609335,
Wild,all-mpnet-base-v2,A1b_cosine_whitened,E2d/E2q,5,0.8317965624999999,0.010302000153044088,0.8190049398004754,0.8445881851995244,
Wild,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.78748234375,0.007418837178464472,0.7782706407169651,0.796694046783035,
Wild,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.80750109375,0.011944159699524042,0.7926704606623047,0.8223317268376953,
Wild,all-mpnet-base-v2,B1_discriminant_mean_raw,E2d/E2q,5,0.8667789062500001,0.006016935607028007,0.859307893927243,0.8742499185727571,
Wild,all-mpnet-base-v2,B1b_discriminant_mean_whitened,E2d/E2q,5,0.82969609375,0.008978199830956643,0.8185481862512219,0.840844001248778,
Wild,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,E2d/E2q,5,0.8314142187500002,0.009881156997580768,0.8191451418455049,0.8436832956544955,
Wild,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,E2d/E2q,5,0.8340856249999999,0.010358744539756782,0.8212235448383941,0.8469477051616058,
Wild,all-mpnet-base-v2,C1_logreg_raw,E2d/E2q,5,0.8765604687499999,0.007087331222327629,0.8677603847278902,0.8853605527721097,
Wild,all-mpnet-base-v2,C1b_logreg_whitened,E2d/E2q,5,0.82079859375,0.009758484176742487,0.8086818352706977,0.8329153522293022,
Wild,bge-base-en-v1.5,A1_naive_cosine_raw,E2d/E2q,5,0.7707603125,0.003973880265588596,0.7658260884410462,0.7756945365589538,
Wild,bge-base-en-v1.5,A1b_cosine_whitened,E2d/E2q,5,0.8343614062499999,0.007963432328811935,0.8244734990251821,0.8442493134748177,
Wild,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.78539171875,0.011373638762129129,0.7712694809704894,0.7995139565295106,
Wild,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.7937929687499999,0.011249864867352497,0.7798244165595509,0.807761520940449,
Wild,bge-base-en-v1.5,B1_discriminant_mean_raw,E2d/E2q,5,0.861790625,0.005021267786922789,0.8555558975636377,0.8680253524363624,
Wild,bge-base-en-v1.5,B1b_discriminant_mean_whitened,E2d/E2q,5,0.8312603125000001,0.006964878264251241,0.8226122739074074,0.8399083510925928,
Wild,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,E2d/E2q,5,0.8096729687499999,0.009791975396493138,0.7975146254288774,0.8218313120711225,
Wild,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,E2d/E2q,5,0.82732515625,0.010429359068447809,0.8143753965703684,0.8402749159296317,
