source,dataset,model,pair,n_seeds,auc_diff_mean,auc_diff_std,wins_m1,ties,losses,p_mean,p_max,frac_p_below_0_05,n_valid_p
E2d,Wild,bge-large-en-v1.5,B1b_vs_A1b,5,-0.003401249999999959,0.0038725844837132098,1,0,4,0.14539025943112824,0.447395445590022,0.6,
E2d,Wild,bge-large-en-v1.5,B1b_vs_B1,5,-0.03959390624999994,0.013670610861200116,0,0,5,0.002348528134113291,0.0117028714317901,1.0,
E2d,Wild,bge-large-en-v1.5,B1b_vs_C1b,5,0.00781296874999992,0.0024326019748746055,5,0,0,1.1065505935103915e-06,4.357902740892428e-06,1.0,
E2d,XSTest,all-mpnet-base-v2,A3_vs_A1,5,0.02662436321387076,0.003825404701110181,5,0,0,0.3710631590215875,0.4648121702725225,0.0,
E2d,XSTest,all-mpnet-base-v2,B1_vs_A1,5,0.02332648136562688,0.0038824785068409928,5,0,0,0.06457082742268497,0.1145839786848688,0.2,
E2d,XSTest,all-mpnet-base-v2,B1_vs_C1,5,-0.06907677182947532,0.010962625150882206,0,0,5,2.6773165018312284e-08,1.1433220814538458e-07,1.0,
E2d,XSTest,all-mpnet-base-v2,B1b_vs_A1b,5,-0.00028599517383146,0.001317918129194566,2,0,3,0.2818970503692895,0.5398486288221382,0.0,
E2d,XSTest,all-mpnet-base-v2,B1b_vs_B1,5,0.11185986236482257,0.02743866997001184,5,0,0,8.330484420143485e-05,0.0003343374537627,1.0,
E2d,XSTest,all-mpnet-base-v2,B1b_vs_C1b,5,0.00226114934310472,0.0011664011118504025,5,0,0,0.11472235600072118,0.3031968112518128,0.6,
E2d,XSTest,bge-base-en-v1.5,A3_vs_A1,5,-0.06908570917865751,0.013329877287465647,0,0,5,0.03009935950706798,0.0852291421389188,0.8,
E2d,XSTest,bge-base-en-v1.5,B1_vs_A1,5,-0.004388238448476181,0.006902648686390347,2,0,3,0.6194758785814413,0.9712514724718893,0.0,
E2d,XSTest,bge-base-en-v1.5,B1_vs_C1,5,-0.058772008222361206,0.008338623419889972,0,0,5,1.1846012966110209e-07,4.95173920977976e-07,1.0,
E2d,XSTest,bge-base-en-v1.5,B1b_vs_A1b,5,-0.0011886674412368778,0.0013844239483163366,1,0,4,0.5194402748336644,0.999999999999906,0.4,
E2d,XSTest,bge-base-en-v1.5,B1b_vs_B1,5,0.09049959781928678,0.030451441922228997,5,0,0,0.0076117833352138285,0.0373870323516225,1.0,
E2d,XSTest,bge-base-en-v1.5,B1b_vs_C1b,5,0.00323532040396814,0.0009576944115828634,5,0,0,0.014694411741287921,0.0403959543063625,1.0,
E2d,XSTest,bge-large-en-v1.5,A3_vs_A1,5,-0.047913128965948626,0.013668498826162882,0,0,5,0.13136811363280199,0.2908562694371035,0.2,
E2d,XSTest,bge-large-en-v1.5,B1_vs_A1,5,0.00889266243632142,0.009916430942117402,4,0,1,0.43878235844397917,0.8804369089647046,0.2,
E2d,XSTest,bge-large-en-v1.5,B1_vs_C1,5,-0.05481276253463206,0.0077270994784220635,0,0,5,2.885866060786668e-07,7.844707643478444e-07,1.0,
E2d,XSTest,bge-large-en-v1.5,B1b_vs_A1b,5,-0.0005898650460273,0.0007011690773584249,1,0,4,0.47996988727971424,0.8040981008335433,0.0,
E2d,XSTest,bge-large-en-v1.5,B1b_vs_B1,5,0.10637232996693165,0.035527250179177024,5,0,0,0.0003262837403988538,0.0013698954051557,1.0,
E2d,XSTest,bge-large-en-v1.5,B1b_vs_C1b,5,0.0011350433461435,0.00028368165605684647,5,0,0,0.20270519381069602,0.3420440269928486,0.0,
E2q,ToxicChat,Qwen3-Embedding-8B,A3_vs_A1,5,0.0342590668316353,0.026722460895999497,5,0,0,0.20107982398739285,0.5812703928954654,0.4,
E2q,ToxicChat,Qwen3-Embedding-8B,B1_vs_A1,5,0.15459407079474935,0.005539737547118374,5,0,0,0.0,0.0,1.0,
E2q,ToxicChat,Qwen3-Embedding-8B,B1_vs_C1,5,-0.01521424981151038,0.0037956770081999745,0,0,5,0.0037298523547660547,0.0185392899005434,1.0,
E2q,ToxicChat,Qwen3-Embedding-8B,B1b_vs_A1b,5,0.00021893788543699997,0.0009760641037430445,3,0,2,0.34351677044315115,0.7613366488689481,0.0,
E2q,ToxicChat,Qwen3-Embedding-8B,B1b_vs_B1,5,0.0051510816401492,0.002585560310099806,5,0,0,0.37409128428824334,0.9060992987718868,0.0,
E2q,ToxicChat,Qwen3-Embedding-8B,B1b_vs_C1b,5,0.00045285827517538003,0.0005734414109895517,4,0,1,0.22151636039820835,0.4005735491696653,0.4,
E2q,Wild,Qwen3-Embedding-8B,A3_vs_A1,5,0.005146562499999901,0.011102615276546393,3,0,2,0.42260637972544596,0.777190520337504,0.0,
E2q,Wild,Qwen3-Embedding-8B,B1_vs_A1,5,0.0764887499999999,0.004042679020415649,5,0,0,0.0,0.0,1.0,
E2q,Wild,Qwen3-Embedding-8B,B1_vs_C1,5,-0.010002187499999917,0.002904623326684815,0,0,5,3.585383422104788e-05,0.0001761284296037,1.0,
E2q,Wild,Qwen3-Embedding-8B,B1b_vs_A1b,5,-0.00195296874999994,0.002695053452225289,1,0,4,0.04222051448286772,0.0871482762325666,0.6,
E2q,Wild,Qwen3-Embedding-8B,B1b_vs_B1,5,-0.052217187499999915,0.012892444793423111,0,0,5,8.072815899407005e-06,3.999468586890487e-05,1.0,
E2q,Wild,Qwen3-Embedding-8B,B1b_vs_C1b,5,0.00249390625000002,0.0015391723866228038,5,0,0,0.02578393111212205,0.0730683404495406,0.8,
E2q,XSTest,Qwen3-Embedding-8B,A3_vs_A1,5,-0.006005898650460259,0.017662082300449723,2,0,3,0.6859960626468388,0.9753210303490898,0.0,
E2q,XSTest,Qwen3-Embedding-8B,B1_vs_A1,5,0.04452587362588256,0.016533510218057546,5,0,0,0.03752358487596314,0.0771666435023756,0.4,
E2q,XSTest,Qwen3-Embedding-8B,B1_vs_C1,5,-0.10245777102511382,0.03292367689528638,0,0,5,0.00011070369259121734,0.0005109996763965,1.0,
E2q,XSTest,Qwen3-Embedding-8B,B1b_vs_A1b,5,3.574939672893644e-05,0.0003622108165011369,4,0,1,0.5165297713153196,0.907752757390348,0.0,
E2q,XSTest,Qwen3-Embedding-8B,B1b_vs_B1,5,0.11116274912860831,0.03657842314534497,5,0,0,2.9655315932641813e-05,8.510663621885683e-05,1.0,
E2q,XSTest,Qwen3-Embedding-8B,B1b_vs_C1b,5,0.00042005541156485995,8.117750524885604e-05,5,0,0,0.2266735280948189,0.4221902193459512,0.0,
E8,ToxicChat,all-mpnet-base-v2,B1b_vs_B1,5,0.010766137607052358,0.005564140758479791,5,0,0,0.20334050514888444,0.5143318222902349,0.6,
E8,ToxicChat,all-mpnet-base-v2,B1w_vs_B1,5,0.01714385137355734,0.002927171785633936,5,0,0,0.00366332464457848,0.0098114612386766,1.0,
E8,ToxicChat,all-mpnet-base-v2,B1w_vs_B1b,5,0.00637771376650494,0.004036210193131801,5,0,0,0.033875628100996764,0.1449173389758753,0.8,
E8,ToxicChat,bge-base-en-v1.5,B1b_vs_B1,5,0.0051588145455951995,0.010148659201372088,3,0,2,0.2509438994322626,0.6178145313909378,0.0,
E8,ToxicChat,bge-base-en-v1.5,B1w_vs_B1,5,0.014342848029075723,0.008631229332762266,5,0,0,0.1862455331539255,0.5147245591507799,0.6,
E8,ToxicChat,bge-base-en-v1.5,B1w_vs_B1b,5,0.00918403348348054,0.002456660104269116,5,0,0,4.1435492952945904e-05,7.817882851668401e-05,1.0,
E8,ToxicChat,bge-large-en-v1.5,B1b_vs_B1,5,0.004034401763102401,0.003736738182270177,4,0,1,0.5446888125153356,0.8260085747698551,0.0,
E8,ToxicChat,bge-large-en-v1.5,B1w_vs_B1,5,0.01218440079648916,0.005168714261082435,5,0,0,0.1380435755418768,0.5368068692700807,0.6,
E8,ToxicChat,bge-large-en-v1.5,B1w_vs_B1b,5,0.008149999033386781,0.0019379011184189599,5,0,0,4.278834249296517e-05,0.0001556608279202,1.0,
E8,Wild,all-mpnet-base-v2,B1b_vs_B1,5,-0.0370828125,0.010856375752073788,0,0,5,0.00021577939156185757,0.0004427100153083,1.0,
E8,Wild,all-mpnet-base-v2,B1w_vs_B1,5,-0.019280312500000042,0.009465404688933908,0,0,5,0.05973692749932449,0.2041199982345243,0.6,
E8,Wild,all-mpnet-base-v2,B1w_vs_B1b,5,0.0178024999999999,0.0037584807828975712,5,0,0,3.237121681820554e-11,1.6185452977879322e-10,1.0,
E8,Wild,bge-base-en-v1.5,B1b_vs_B1,5,-0.030530312499999962,0.011444627131249793,0,0,5,0.015096270359395786,0.0709768851176244,0.8,
E8,Wild,bge-base-en-v1.5,B1w_vs_B1,5,-0.013286874999999958,0.010283288786146165,1,0,4,0.2531215201974031,0.9016198114106462,0.4,
E8,Wild,bge-base-en-v1.5,B1w_vs_B1b,5,0.0172434375,0.0015783346666103548,5,0,0,4.884981308350689e-16,2.220446049250313e-15,1.0,
E8,Wild,bge-large-en-v1.5,B1b_vs_B1,5,-0.03959390624999994,0.013670610861200116,0,0,5,0.002348528134113291,0.0117028714317901,1.0,
E8,Wild,bge-large-en-v1.5,B1w_vs_B1,5,-0.02404499999999998,0.011542714868718228,0,0,5,0.08214635237310242,0.4038485665925333,0.8,
E8,Wild,bge-large-en-v1.5,B1w_vs_B1b,5,0.015548906249999921,0.0024765903857855162,5,0,0,2.6321167467813213e-13,1.049382802875698e-12,1.0,
E8,XSTest,all-mpnet-base-v2,B1b_vs_B1,5,0.11185986236482257,0.02743866997001184,5,0,0,8.330484420143485e-05,0.0003343374537627,1.0,
E8,XSTest,all-mpnet-base-v2,B1w_vs_B1,5,0.1147376888015014,0.026035420112875015,5,0,0,2.3441352577879827e-05,8.503846566965123e-05,1.0,
E8,XSTest,all-mpnet-base-v2,B1w_vs_B1b,5,0.0028778264366788,0.002105642122741717,5,0,0,0.3617116842390201,0.8262541470422957,0.2,
E8,XSTest,bge-base-en-v1.5,B1b_vs_B1,5,0.09049959781928678,0.030451441922228997,5,0,0,0.0076117833352138285,0.0373870323516225,1.0,
E8,XSTest,bge-base-en-v1.5,B1w_vs_B1,5,0.09571900974171058,0.03202535747632422,5,0,0,0.003173680643073254,0.0155805076501593,1.0,
E8,XSTest,bge-base-en-v1.5,B1w_vs_B1b,5,0.005219411922423761,0.0032408521405179794,5,0,0,0.15350388123701517,0.5833279557253956,0.6,
E8,XSTest,bge-large-en-v1.5,B1b_vs_B1,5,0.10637232996693165,0.035527250179177024,5,0,0,0.0003262837403988538,0.0013698954051557,1.0,
E8,XSTest,bge-large-en-v1.5,B1w_vs_B1,5,0.10683707212440777,0.03514037102375104,5,0,0,0.0002643001293592544,0.0010349574984915,1.0,
E8,XSTest,bge-large-en-v1.5,B1w_vs_B1b,5,0.00046474215747612,0.001391975996166225,2,0,3,0.5996351629839347,0.8068347453903322,0.0,
E8q,ToxicChat,Qwen3-Embedding-8B,B1b_vs_B1,5,0.0051510816401492,0.002585560310099806,5,0,0,0.37409128428824334,0.9060992987718868,0.0,
E8q,ToxicChat,Qwen3-Embedding-8B,B1w_vs_B1,5,0.008829044792854679,0.0016259508227880776,5,0,0,0.09641786749335671,0.25034323397308,0.4,
E8q,ToxicChat,Qwen3-Embedding-8B,B1w_vs_B1b,5,0.00367796315270546,0.0011178355516122183,5,0,0,0.005312347306961971,0.0134395036967251,1.0,
E8q,Wild,Qwen3-Embedding-8B,B1b_vs_B1,5,-0.052217187499999915,0.012892444793423111,0,0,5,8.072815899407005e-06,3.999468586890487e-05,1.0,
E8q,Wild,Qwen3-Embedding-8B,B1w_vs_B1,5,-0.03558953124999998,0.009727727600274188,0,0,5,0.000625442154044671,0.0029900614206275,1.0,
E8q,Wild,Qwen3-Embedding-8B,B1w_vs_B1b,5,0.01662765624999992,0.004128228443359967,5,0,0,4.71724881379032e-12,2.304911816963795e-11,1.0,
E8q,XSTest,Qwen3-Embedding-8B,B1b_vs_B1,5,0.11116274912860831,0.03657842314534497,5,0,0,2.9655315932641813e-05,8.510663621885683e-05,1.0,
E8q,XSTest,Qwen3-Embedding-8B,B1w_vs_B1,5,0.11004558048082924,0.03649869954811383,5,0,0,3.810739568863555e-05,0.0001109264380581,1.0,
E8q,XSTest,Qwen3-Embedding-8B,B1w_vs_B1b,5,-0.00111716864777902,0.00030959885737222054,0,0,5,0.29463731881065336,0.5378481961382802,0.0,
E12,AdvBench,Qwen3-Embedding-8B,A3_vs_A1,5,-0.020724999999999917,0.009736604379543722,0,0,5,0.0009663618555226766,0.0029614437580454,1.0,
E12,AdvBench,Qwen3-Embedding-8B,B1_vs_A1,5,0.0033343749999999797,0.0003243081578530255,5,0,0,0.04509488170266832,0.0704703824539669,0.4,
E12,AdvBench,Qwen3-Embedding-8B,B1_vs_C1,5,-1.2499999999993072e-05,5.344572305153711e-05,3,0,2,0.4076640155686098,0.4795001221879809,0.0,
E12,AdvBench,Qwen3-Embedding-8B,B1b_vs_A1b,5,-9.375000000000355e-06,2.3696485762649792e-05,1,2,2,,,0.0,
E12,AdvBench,Qwen3-Embedding-8B,B1b_vs_B1,10,-2.1875000000007284e-05,6.038073644245776e-05,2,4,4,0.6474365651479113,1.0,0.0,
E12,AdvBench,Qwen3-Embedding-8B,B1b_vs_C1b,5,0.0,0.0,0,5,0,,,0.0,
E12,AdvBench,Qwen3-Embedding-8B,B1w_vs_B1,5,-1.5625000000006926e-05,7.245014449605664e-05,2,2,1,,,0.0,
E12,AdvBench,Qwen3-Embedding-8B,B1w_vs_B1b,5,6.250000000007638e-06,1.7815241017171462e-05,2,2,1,,,0.0,
E12,AdvBench,all-mpnet-base-v2,A3_vs_A1,5,-0.01778749999999992,0.010718240922677666,0,0,5,0.0030116426603682177,0.0068420852204691,1.0,
E12,AdvBench,all-mpnet-base-v2,B1_vs_A1,5,0.00366874999999992,0.0007408623037548475,5,0,0,0.0081223041577192,0.022186757917475,1.0,
E12,AdvBench,all-mpnet-base-v2,B1_vs_C1,5,-0.0008062500000000399,0.0003051078830717285,0,0,5,0.11184676162976222,0.3800175356055,0.6,
E12,AdvBench,all-mpnet-base-v2,B1b_vs_A1b,5,3.7499999999987284e-05,0.00011191252862163835,2,1,2,0.6815562661191492,1.0,0.0,
E12,AdvBench,all-mpnet-base-v2,B1b_vs_B1,10,0.0006687500000000277,0.0006917796092526334,8,0,2,0.4103808175815402,0.9623428689947792,0.0,
E12,AdvBench,all-mpnet-base-v2,B1b_vs_C1b,5,9.374999999994507e-05,0.0001620034480728637,3,0,2,0.4622805826432275,0.9100062951154247,0.0,
E12,AdvBench,all-mpnet-base-v2,B1w_vs_B1,5,0.00096874999999998,0.0004955859852235462,5,0,0,0.2078851719701995,0.4637827578215721,0.0,
