dataset,embedder,seed,method,roc_auc,tpr_fpr1,tpr_fpr5,tpr_fpr10,fpr_tpr90,brier,ece10
AdvBench,bge-base-en-v1.5,4,B1b_SigmaT,0.9996875,0.99375,0.996875,1.0,0.0,0.11726681505086405,0.3024915900009756
AdvBench,bge-base-en-v1.5,4,B1w_SigmaW,0.99971875,0.99375,0.996875,1.0,0.0,0.07043402468433765,0.23760761671627942
AdvBench,bge-large-en-v1.5,0,A1_raw,0.99540625,0.928125,0.96875,0.9875,0.0,0.10378847088875286,0.24091615605239686
AdvBench,bge-large-en-v1.5,0,B1_raw,0.9990625000000001,0.98125,0.99375,1.0,0.0,0.06356264000472372,0.2073186228481623
AdvBench,bge-large-en-v1.5,0,B1b_SigmaT,0.9989374999999999,0.9875,0.99375,0.996875,0.0,0.1531213352820964,0.320661025093152
AdvBench,bge-large-en-v1.5,0,B1w_SigmaW,0.999375,0.990625,0.99375,1.0,0.0,0.07592347846548562,0.2315327926037403
AdvBench,bge-large-en-v1.5,1,A1_raw,0.995953125,0.95,0.978125,0.9875,0.0,0.1110691965281789,0.24276173481574428
AdvBench,bge-large-en-v1.5,1,B1_raw,0.9991875,0.99375,0.996875,1.0,0.0,0.06676597236617433,0.21521692575457005
AdvBench,bge-large-en-v1.5,1,B1b_SigmaT,0.999671875,0.996875,0.996875,1.0,0.0,0.13167894920943674,0.3187839476248393
AdvBench,bge-large-en-v1.5,1,B1w_SigmaW,0.999859375,0.996875,1.0,1.0,0.0,0.0709970927148321,0.2368379515094253
AdvBench,bge-large-en-v1.5,2,A1_raw,0.99740625,0.959375,0.990625,0.99375,0.0,0.09900145141321487,0.2447517366650013
AdvBench,bge-large-en-v1.5,2,B1_raw,0.9992500000000001,0.9875,0.996875,1.0,0.0,0.06536751227892705,0.21251851512262457
AdvBench,bge-large-en-v1.5,2,B1b_SigmaT,0.999625,0.996875,0.996875,0.996875,0.0,0.12066116027510498,0.31105343074752734
AdvBench,bge-large-en-v1.5,2,B1w_SigmaW,0.999828125,0.996875,0.996875,1.0,0.0,0.0647652189488373,0.22939014135358424
AdvBench,bge-large-en-v1.5,3,A1_raw,0.996546875,0.959375,0.975,0.9875,0.0,0.09947099756249428,0.2348362797584671
AdvBench,bge-large-en-v1.5,3,B1_raw,0.998890625,0.975,0.99375,0.996875,0.0,0.06510483960826705,0.21260951614150636
AdvBench,bge-large-en-v1.5,3,B1b_SigmaT,0.9995937500000001,0.99375,0.996875,1.0,0.0,0.1297945975006639,0.3146076810617859
AdvBench,bge-large-en-v1.5,3,B1w_SigmaW,0.999828125,0.99375,1.0,1.0,0.0,0.07405234949105148,0.24089806320575566
AdvBench,bge-large-en-v1.5,4,A1_raw,0.9970156250000001,0.965625,0.98125,0.9875,0.0,0.10025451098230327,0.23918857517150732
AdvBench,bge-large-en-v1.5,4,B1_raw,0.999328125,0.99375,0.996875,0.996875,0.0,0.0636530236962339,0.21167999607725785
AdvBench,bge-large-en-v1.5,4,B1b_SigmaT,0.9995624999999999,0.9875,0.996875,1.0,0.0,0.12549748740707226,0.3071280316951183
AdvBench,bge-large-en-v1.5,4,B1w_SigmaW,0.9998125,0.990625,1.0,1.0,0.0,0.06822711562199979,0.22929842262887037
AdvBench,Qwen3-Embedding-8B,0,A1_raw,0.99703125,0.9625,0.98125,0.990625,0.0,0.06482590595112374,0.19908519593568946
AdvBench,Qwen3-Embedding-8B,0,B1_raw,0.99990625,0.996875,1.0,1.0,0.0,0.055355978484492904,0.20449606157266176
AdvBench,Qwen3-Embedding-8B,0,B1b_SigmaT,0.99990625,1.0,1.0,1.0,0.0,0.15730894483027263,0.331560866921567
AdvBench,Qwen3-Embedding-8B,0,B1w_SigmaW,0.99990625,1.0,1.0,1.0,0.0,0.08096030674181827,0.24033597252116753
AdvBench,Qwen3-Embedding-8B,1,A1_raw,0.99659375,0.96875,0.984375,0.9875,0.0,0.06395941178436469,0.19267376329606542
AdvBench,Qwen3-Embedding-8B,1,B1_raw,1.0,1.0,1.0,1.0,0.0,0.05055572268826263,0.19691221255522506
AdvBench,Qwen3-Embedding-8B,1,B1b_SigmaT,0.999875,1.0,1.0,1.0,0.0,0.16217328767148906,0.3326807590917899
