dataset,seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc
ToxicChat,4,200,200,184,4498,clean,EXT:toxic-bert,0.7941270999671353,0.16396729614694017
ToxicChat,4,200,200,184,4498,base64,EXT:toxic-bert,0.8842649873373674,0.1616549190575231
ToxicChat,4,200,200,184,4498,leetspeak,EXT:toxic-bert,0.9243419780772131,0.1992267664216916
ToxicChat,4,200,200,184,4498,rot13,EXT:toxic-bert,0.8776726854447388,0.12886831905986668
ToxicChat,4,200,200,184,4498,zero_width,EXT:toxic-bert,0.7941270999671353,0.16396729614694017
ToxicChat,4,200,200,184,4498,homoglyph,EXT:toxic-bert,0.9495174183695169,0.29082662445976937
Wild,0,200,200,800,800,clean,EXT:deberta-v3-base-prompt-injection-v2,0.8439132812500001,0.8237744384346792
Wild,0,200,200,800,800,base64,EXT:deberta-v3-base-prompt-injection-v2,0.9037125,0.7717752580936998
Wild,0,200,200,800,800,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.9174328125000001,0.7931113413669924
Wild,0,200,200,800,800,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.8582062499999998,0.7176288207918966
Wild,0,200,200,800,800,zero_width,EXT:deberta-v3-base-prompt-injection-v2,0.93952734375,0.8357858780611525
Wild,0,200,200,800,800,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.90511328125,0.808873556113181
Wild,0,200,200,800,800,clean,EXT:toxic-bert,0.73194765625,0.6981859572741855
Wild,0,200,200,800,800,base64,EXT:toxic-bert,0.8869210937500001,0.8043355142053892
Wild,0,200,200,800,800,leetspeak,EXT:toxic-bert,0.9325812499999999,0.8644181851842193
Wild,0,200,200,800,800,rot13,EXT:toxic-bert,0.8611828125000001,0.7240227457619188
Wild,0,200,200,800,800,zero_width,EXT:toxic-bert,0.73205234375,0.6982579282130006
Wild,0,200,200,800,800,homoglyph,EXT:toxic-bert,0.964353125,0.9392511270974431
Wild,1,200,200,800,800,clean,EXT:deberta-v3-base-prompt-injection-v2,0.83655859375,0.8180641021059809
Wild,1,200,200,800,800,base64,EXT:deberta-v3-base-prompt-injection-v2,0.902196875,0.769790400172758
Wild,1,200,200,800,800,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.91896953125,0.7974548748808252
Wild,1,200,200,800,800,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.852890625,0.711219307795654
Wild,1,200,200,800,800,zero_width,EXT:deberta-v3-base-prompt-injection-v2,0.94218203125,0.839438142492698
Wild,1,200,200,800,800,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.904903125,0.8056146714326791
Wild,1,200,200,800,800,clean,EXT:toxic-bert,0.7240749999999999,0.6846971135418743
