dataset,model,dim,seed,n_ref_mal,n_ref_safe,n_test,method,roc_auc,pr_auc
Wild,all-mpnet-base-v2,768,3,200,200,1600,B1_raw,0.85695703125,0.8277850495472124
Wild,all-mpnet-base-v2,768,3,200,200,1600,B1b_SigmaT_wh,0.8283148437500001,0.808104667973213
Wild,all-mpnet-base-v2,768,3,200,200,1600,B1w_SigmaW_wh,0.84151875,0.8238723159452354
Wild,all-mpnet-base-v2,768,4,200,200,1600,B1_raw,0.8703414062500001,0.8367566726493607
Wild,all-mpnet-base-v2,768,4,200,200,1600,B1b_SigmaT_wh,0.8156625,0.7958595561446944
Wild,all-mpnet-base-v2,768,4,200,200,1600,B1w_SigmaW_wh,0.83734609375,0.8138610562600516
Wild,bge-base-en-v1.5,768,0,200,200,1600,B1_raw,0.8679203125,0.8292101800814321
Wild,bge-base-en-v1.5,768,0,200,200,1600,B1b_SigmaT_wh,0.824946875,0.8131327768013038
Wild,bge-base-en-v1.5,768,0,200,200,1600,B1w_SigmaW_wh,0.844571875,0.8334772820041505
Wild,bge-base-en-v1.5,768,1,200,200,1600,B1_raw,0.8619921875000001,0.8253218269886431
Wild,bge-base-en-v1.5,768,1,200,200,1600,B1b_SigmaT_wh,0.83726328125,0.8356390368474729
Wild,bge-base-en-v1.5,768,1,200,200,1600,B1w_SigmaW_wh,0.8527375000000001,0.8455075153408007
Wild,bge-base-en-v1.5,768,2,200,200,1600,B1_raw,0.8603132812500001,0.8286620048477588
Wild,bge-base-en-v1.5,768,2,200,200,1600,B1b_SigmaT_wh,0.83127578125,0.8223819185044097
Wild,bge-base-en-v1.5,768,2,200,200,1600,B1w_SigmaW_wh,0.8488687500000001,0.831848245570142
Wild,bge-base-en-v1.5,768,3,200,200,1600,B1_raw,0.8543999999999999,0.8217164742643412
Wild,bge-base-en-v1.5,768,3,200,200,1600,B1b_SigmaT_wh,0.8390921874999999,0.8160979315422161
Wild,bge-base-en-v1.5,768,3,200,200,1600,B1w_SigmaW_wh,0.8553171875000002,0.8340679245480318
Wild,bge-base-en-v1.5,768,4,200,200,1600,B1_raw,0.86432734375,0.8296432837847341
Wild,bge-base-en-v1.5,768,4,200,200,1600,B1b_SigmaT_wh,0.8237234375000001,0.8116599676013673
Wild,bge-base-en-v1.5,768,4,200,200,1600,B1w_SigmaW_wh,0.8410234374999999,0.8232706855099341
Wild,bge-large-en-v1.5,1024,0,200,200,1600,B1_raw,0.878059375,0.8520168220647167
Wild,bge-large-en-v1.5,1024,0,200,200,1600,B1b_SigmaT_wh,0.8452875000000001,0.8386983811540318
Wild,bge-large-en-v1.5,1024,0,200,200,1600,B1w_SigmaW_wh,0.85830078125,0.8527916778974656
Wild,bge-large-en-v1.5,1024,1,200,200,1600,B1_raw,0.8696125,0.8400790096621646
Wild,bge-large-en-v1.5,1024,1,200,200,1600,B1b_SigmaT_wh,0.82085390625,0.8294030430743791
Wild,bge-large-en-v1.5,1024,1,200,200,1600,B1w_SigmaW_wh,0.8383234374999999,0.8429146831442349
Wild,bge-large-en-v1.5,1024,2,200,200,1600,B1_raw,0.8707625,0.8430262435650377
Wild,bge-large-en-v1.5,1024,2,200,200,1600,B1b_SigmaT_wh,0.8207421874999999,0.8112363718240054
Wild,bge-large-en-v1.5,1024,2,200,200,1600,B1w_SigmaW_wh,0.8391234375000001,0.824639730813421
Wild,bge-large-en-v1.5,1024,3,200,200,1600,B1_raw,0.865446875,0.8402919727492223
Wild,bge-large-en-v1.5,1024,3,200,200,1600,B1b_SigmaT_wh,0.8468453125000001,0.8272125759407177
Wild,bge-large-en-v1.5,1024,3,200,200,1600,B1w_SigmaW_wh,0.8598828125,0.8413737660655385
Wild,bge-large-en-v1.5,1024,4,200,200,1600,B1_raw,0.8757343750000002,0.8476164743898736
Wild,bge-large-en-v1.5,1024,4,200,200,1600,B1b_SigmaT_wh,0.8279171875,0.8124657254929903
Wild,bge-large-en-v1.5,1024,4,200,200,1600,B1w_SigmaW_wh,0.8437601562499999,0.8238055470536549
XSTest,all-mpnet-base-v2,768,0,66,83,301,B1_raw,0.8154437393868978,0.8274823967129286
XSTest,all-mpnet-base-v2,768,0,66,83,301,B1b_SigmaT_wh,0.8957011350433461,0.8845152160346732
XSTest,all-mpnet-base-v2,768,0,66,83,301,B1w_SigmaW_wh,0.901957279470909,0.8918652217564691
XSTest,all-mpnet-base-v2,768,1,66,83,301,B1_raw,0.7628474394494593,0.7879282871665452
XSTest,all-mpnet-base-v2,768,1,66,83,301,B1b_SigmaT_wh,0.8945392796496558,0.8771088899739254
XSTest,all-mpnet-base-v2,768,1,66,83,301,B1w_SigmaW_wh,0.8975332916257038,0.8820068074033119
