train_ds,target_ds,embedder,seed,method,n_test,roc_auc,pr_auc,tpr_fpr1,tpr_fpr5
Wild,HarmBench,all-mpnet-base-v2,1,DELONG_B1w_vs_A1,400,0.0246568892605476,,,
Wild,Wild,all-mpnet-base-v2,2,A1_raw,400,0.8037750000000001,0.793967242689769,0.16,0.31
Wild,Wild,all-mpnet-base-v2,2,B1_raw,400,0.893725,0.8741756827887385,0.145,0.45
Wild,Wild,all-mpnet-base-v2,2,B1b_SigmaT,400,0.8543999999999999,0.8569202900125286,0.285,0.38
Wild,Wild,all-mpnet-base-v2,2,B1w_SigmaW,400,0.874225,0.8753000664686676,0.315,0.44
Wild,Wild,all-mpnet-base-v2,2,DELONG_B1w_vs_A1,400,0.0012468502608027,,,
Wild,ToxicChat,all-mpnet-base-v2,2,A1_raw,400,0.781975,0.8003716989384824,0.235,0.36
Wild,ToxicChat,all-mpnet-base-v2,2,B1_raw,400,0.648925,0.69289341354566,0.165,0.225
Wild,ToxicChat,all-mpnet-base-v2,2,B1b_SigmaT,400,0.6055250000000001,0.6541196899519981,0.155,0.19
Wild,ToxicChat,all-mpnet-base-v2,2,B1w_SigmaW,400,0.6435250000000001,0.6865897065880737,0.18,0.215
Wild,ToxicChat,all-mpnet-base-v2,2,DELONG_B1w_vs_A1,400,9.892422562218783e-06,,,
Wild,XSTest,all-mpnet-base-v2,2,A1_raw,400,0.6275499999999999,0.6382402508257013,0.055,0.13
Wild,XSTest,all-mpnet-base-v2,2,B1_raw,400,0.5333500000000001,0.4910878526347678,0.0,0.005
Wild,XSTest,all-mpnet-base-v2,2,B1b_SigmaT,400,0.446975,0.4611841787113667,0.015,0.02
Wild,XSTest,all-mpnet-base-v2,2,B1w_SigmaW,400,0.4630500000000001,0.466188536533163,0.015,0.025
Wild,XSTest,all-mpnet-base-v2,2,DELONG_B1w_vs_A1,400,3.390977777995019e-05,,,
Wild,AdvBench,all-mpnet-base-v2,2,A1_raw,400,0.7991250000000001,0.7041122522066402,0.0,0.06
Wild,AdvBench,all-mpnet-base-v2,2,B1_raw,400,0.707025,0.6625179407179986,0.05,0.085
Wild,AdvBench,all-mpnet-base-v2,2,B1b_SigmaT,400,0.310975,0.3796832239601966,0.0,0.005
