seed,method,roc_auc,n_test,k
2,A2_rsfi_svd_raw_k5,0.9429565314052621,4682,5.0
2,A2_rsfi_svd_raw_k10,0.9443412047866684,4682,10.0
2,A2_rsfi_svd_raw_k20,0.9452341137123746,4682,20.0
2,A2_rsfi_svd_raw_k50,0.9459796141280182,4682,50.0
2,A2_rsfi_svd_raw_k100,0.9459784058615422,4682,100.0
2,A2_rsfi_svd_raw_k200,0.9417627641270516,4682,200.0
2,A3_rsfi_svd_whitened400_k1,0.6259194907881764,4682,1.0
2,A3_rsfi_svd_whitened400_k2,0.6864560577648036,4682,2.0
2,A3_rsfi_svd_whitened400_k5,0.74219339029907,4682,5.0
2,A3_rsfi_svd_whitened400_k10,0.8173777717632957,4682,10.0
2,A3_rsfi_svd_whitened400_k20,0.8907727105766814,4682,20.0
2,A3_rsfi_svd_whitened400_k50,0.9173074506543972,4682,50.0
2,A3_rsfi_svd_whitened400_k100,0.9299918321186228,4682,100.0
2,A3_rsfi_svd_whitened400_k200,0.9111283758965337,4682,200.0
2,B1_discriminant_mean_raw,0.9554173835714423,4682,
2,B1b_discriminant_mean_whitened,0.9593418330852359,4682,
2,B2_contrastive_svd_raw_k1,0.9175092311558761,4682,1.0
2,B2_contrastive_svd_raw_k2,0.9046387766543585,4682,2.0
2,B2_contrastive_svd_raw_k5,0.9527749047886016,4682,5.0
2,B2_contrastive_svd_raw_k10,0.9568624702766448,4682,10.0
2,B2_contrastive_svd_raw_k20,0.9571367467666789,4682,20.0
2,B2_contrastive_svd_raw_k50,0.9577602122682546,4682,50.0
2,B2_contrastive_svd_raw_k100,0.9584960465520908,4682,100.0
2,B2_contrastive_svd_raw_k200,0.9484710596013688,4682,200.0
2,B2b_contrastive_svd_whitened_k1,0.7422803854853364,4682,1.0
2,B2b_contrastive_svd_whitened_k2,0.9463940495292593,4682,2.0
2,B2b_contrastive_svd_whitened_k5,0.9266497670462234,4682,5.0
2,B2b_contrastive_svd_whitened_k10,0.9099938136756432,4682,10.0
