dataset,model,dim,seed,n_ref_mal,n_ref_safe,n_test,method,roc_auc,pr_auc
Wild,bge-large-en-v1.5,1024,0,200,200,1600,kNN_2class,0.8763671875000001,0.8672625528272457
Wild,bge-large-en-v1.5,1024,1,200,200,1600,kNN_1class,0.8116445312499999,0.8137991294802693
Wild,bge-large-en-v1.5,1024,1,200,200,1600,kNN_2class,0.8824593749999999,0.8748096543959208
Wild,bge-large-en-v1.5,1024,2,200,200,1600,kNN_1class,0.8021890625,0.8000423265846986
Wild,bge-large-en-v1.5,1024,2,200,200,1600,kNN_2class,0.87193671875,0.8525402475498174
Wild,bge-large-en-v1.5,1024,3,200,200,1600,kNN_1class,0.7834296875,0.7788360039731392
Wild,bge-large-en-v1.5,1024,3,200,200,1600,kNN_2class,0.88041484375,0.8625593828835745
Wild,bge-large-en-v1.5,1024,4,200,200,1600,kNN_1class,0.8067140625,0.8020634406963545
Wild,bge-large-en-v1.5,1024,4,200,200,1600,kNN_2class,0.88814296875,0.8735879792062371
XSTest,all-mpnet-base-v2,768,0,66,83,301,kNN_1class,0.8563321118956118,0.852798900371027
XSTest,all-mpnet-base-v2,768,0,66,83,301,kNN_2class,0.8902940387880953,0.8744402615107171
XSTest,all-mpnet-base-v2,768,1,66,83,301,kNN_1class,0.781973366699437,0.7743650372373273
XSTest,all-mpnet-base-v2,768,1,66,83,301,kNN_2class,0.7809902582893914,0.7414689826358511
XSTest,all-mpnet-base-v2,768,2,66,83,301,kNN_1class,0.8314415944230942,0.8200927959996669
XSTest,all-mpnet-base-v2,768,2,66,83,301,kNN_2class,0.8318884618822057,0.7830640371265088
XSTest,all-mpnet-base-v2,768,3,66,83,301,kNN_1class,0.8516400035749396,0.8145650278149204
XSTest,all-mpnet-base-v2,768,3,66,83,301,kNN_2class,0.8535615336491198,0.8175601520615937
XSTest,all-mpnet-base-v2,768,4,66,83,301,kNN_1class,0.8343015461614084,0.8085911128540829
XSTest,all-mpnet-base-v2,768,4,66,83,301,kNN_2class,0.8480650639020467,0.8015227292428753
XSTest,bge-base-en-v1.5,768,0,66,83,301,kNN_1class,0.8298328715702923,0.8247082254673714
XSTest,bge-base-en-v1.5,768,0,66,83,301,kNN_2class,0.8238448476181965,0.7897244045946842
XSTest,bge-base-en-v1.5,768,1,66,83,301,kNN_1class,0.7588703190633658,0.7638275498440563
XSTest,bge-base-en-v1.5,768,1,66,83,301,kNN_2class,0.7684332826883546,0.7246243060323758
XSTest,bge-base-en-v1.5,768,2,66,83,301,kNN_1class,0.8043614264009293,0.7891215186858032
XSTest,bge-base-en-v1.5,768,2,66,83,301,kNN_2class,0.7977477880060775,0.7357359049569251
XSTest,bge-base-en-v1.5,768,3,66,83,301,kNN_1class,0.8129859683617839,0.7859977739465724
XSTest,bge-base-en-v1.5,768,3,66,83,301,kNN_2class,0.7942175350790955,0.7599520426917681
XSTest,bge-base-en-v1.5,768,4,66,83,301,kNN_1class,0.7925641254803825,0.767472013003667
XSTest,bge-base-en-v1.5,768,4,66,83,301,kNN_2class,0.7930556796854054,0.7433970486884354
XSTest,bge-large-en-v1.5,1024,0,66,83,301,kNN_1class,0.8250067030118867,0.8336336250803336
XSTest,bge-large-en-v1.5,1024,0,66,83,301,kNN_2class,0.8361337027437663,0.8176883329457828
XSTest,bge-large-en-v1.5,1024,1,66,83,301,kNN_1class,0.75288229511127,0.7607970082607267
XSTest,bge-large-en-v1.5,1024,1,66,83,301,kNN_2class,0.7571275359728304,0.7319889004881772
XSTest,bge-large-en-v1.5,1024,2,66,83,301,kNN_1class,0.7947984627759407,0.781559235358805
XSTest,bge-large-en-v1.5,1024,2,66,83,301,kNN_2class,0.7914469568326035,0.737867528927169
XSTest,bge-large-en-v1.5,1024,3,66,83,301,kNN_1class,0.8087407275002235,0.7942500118996602
XSTest,bge-large-en-v1.5,1024,3,66,83,301,kNN_2class,0.7958709446778086,0.7820904600940971
XSTest,bge-large-en-v1.5,1024,4,66,83,301,kNN_1class,0.798730896416123,0.7851292516822121
XSTest,bge-large-en-v1.5,1024,4,66,83,301,kNN_2class,0.8145500044686745,0.7705449005912799
