dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
Wild,Qwen3-Embedding-8B,4096,1,B1_discriminant_mean_raw,0.88001796875,0.8645341118454098,1600
Wild,Qwen3-Embedding-8B,4096,1,B1b_discriminant_mean_whitened,0.8122679687500001,0.8251475038576777,1600
Wild,Qwen3-Embedding-8B,4096,1,C1_logreg_raw,0.89184921875,0.8728891465274556,1600
Wild,Qwen3-Embedding-8B,4096,1,C1b_logreg_whitened,0.80879921875,0.8218339420752552,1600
Wild,Qwen3-Embedding-8B,4096,2,A1_naive_cosine_raw,0.79885234375,0.7945838340872442,1600
Wild,Qwen3-Embedding-8B,4096,2,A1b_cosine_whitened,0.829778125,0.8252877924838432,1600
Wild,Qwen3-Embedding-8B,4096,2,A2_rsfi_svd_raw_k20,0.80891328125,0.8022371534184433,1600
Wild,Qwen3-Embedding-8B,4096,2,A3_rsfi_svd_whitened_k20,0.8158710937499999,0.8143725521357684,1600
Wild,Qwen3-Embedding-8B,4096,2,B1_discriminant_mean_raw,0.87329296875,0.8571633346897383,1600
Wild,Qwen3-Embedding-8B,4096,2,B1b_discriminant_mean_whitened,0.8273703125,0.8235752249470972,1600
Wild,Qwen3-Embedding-8B,4096,2,C1_logreg_raw,0.88213046875,0.8603484962202418,1600
Wild,Qwen3-Embedding-8B,4096,2,C1b_logreg_whitened,0.8258749999999999,0.8216710814373163,1600
Wild,Qwen3-Embedding-8B,4096,3,A1_naive_cosine_raw,0.7855546875000001,0.7887093929325373,1600
Wild,Qwen3-Embedding-8B,4096,3,A1b_cosine_whitened,0.82418828125,0.8145982280212694,1600
Wild,Qwen3-Embedding-8B,4096,3,A2_rsfi_svd_raw_k20,0.7810625,0.777523152337912,1600
Wild,Qwen3-Embedding-8B,4096,3,A3_rsfi_svd_whitened_k20,0.80205234375,0.8031079662626162,1600
Wild,Qwen3-Embedding-8B,4096,3,B1_discriminant_mean_raw,0.8607093750000001,0.8458561253200035,1600
Wild,Qwen3-Embedding-8B,4096,3,B1b_discriminant_mean_whitened,0.8269578125,0.8193460378551947,1600
Wild,Qwen3-Embedding-8B,4096,3,C1_logreg_raw,0.8714078125,0.8537467200157742,1600
Wild,Qwen3-Embedding-8B,4096,3,C1b_logreg_whitened,0.82518828125,0.8194334068239243,1600
Wild,Qwen3-Embedding-8B,4096,4,A1_naive_cosine_raw,0.8124843749999999,0.8103788456532597,1600
Wild,Qwen3-Embedding-8B,4096,4,A1b_cosine_whitened,0.8309375000000001,0.8217853635080102,1600
Wild,Qwen3-Embedding-8B,4096,4,A2_rsfi_svd_raw_k20,0.8126023437500001,0.8010386933315,1600
Wild,Qwen3-Embedding-8B,4096,4,A3_rsfi_svd_whitened_k20,0.8071609375,0.7980599397999348,1600
Wild,Qwen3-Embedding-8B,4096,4,B1_discriminant_mean_raw,0.8846375,0.8660757064303835,1600
Wild,Qwen3-Embedding-8B,4096,4,B1b_discriminant_mean_whitened,0.8273484375,0.8153725754951885,1600
Wild,Qwen3-Embedding-8B,4096,4,C1_logreg_raw,0.8902421875000001,0.8701487553526361,1600
Wild,Qwen3-Embedding-8B,4096,4,C1b_logreg_whitened,0.8226468749999999,0.8111187460656295,1600
XSTest,Qwen3-Embedding-8B,4096,0,A1_naive_cosine_raw,0.8036017517204397,0.8164328752295872,301
XSTest,Qwen3-Embedding-8B,4096,0,A1b_cosine_whitened,0.9424434712664224,0.9370044745286564,301
XSTest,Qwen3-Embedding-8B,4096,0,A2_rsfi_svd_raw_k20,0.8654482080614889,0.8525740656765022,301
XSTest,Qwen3-Embedding-8B,4096,0,A3_rsfi_svd_whitened_k20,0.804495486638663,0.7091913184253127,301
XSTest,Qwen3-Embedding-8B,4096,0,B1_discriminant_mean_raw,0.8687103405130039,0.8621607063809978,301
XSTest,Qwen3-Embedding-8B,4096,0,B1b_discriminant_mean_whitened,0.9424881580123335,0.9366157614109657,301
XSTest,Qwen3-Embedding-8B,4096,0,C1_logreg_raw,0.9389132183394405,0.9247458109791239,301
XSTest,Qwen3-Embedding-8B,4096,0,C1b_logreg_whitened,0.9420859772991331,0.9359796261112966,301
XSTest,Qwen3-Embedding-8B,4096,1,A1_naive_cosine_raw,0.7621324515148807,0.7981036526426075,301
XSTest,Qwen3-Embedding-8B,4096,1,A1b_cosine_whitened,0.9427115917418892,0.9247035802425475,301
XSTest,Qwen3-Embedding-8B,4096,1,A2_rsfi_svd_raw_k20,0.8219680042899277,0.8310538814027385,301
XSTest,Qwen3-Embedding-8B,4096,1,A3_rsfi_svd_whitened_k20,0.7790240414693002,0.699315431975835,301
XSTest,Qwen3-Embedding-8B,4096,1,B1_discriminant_mean_raw,0.7920725712753598,0.8230132099524795,301
XSTest,Qwen3-Embedding-8B,4096,1,B1b_discriminant_mean_whitened,0.9421306640450442,0.9237850335551822,301
XSTest,Qwen3-Embedding-8B,4096,1,C1_logreg_raw,0.9293055679685405,0.902551259788065,301
XSTest,Qwen3-Embedding-8B,4096,1,C1b_logreg_whitened,0.9416837965859326,0.9226907940239257,301
