dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
ToxicChat,bge-base-en-v1.5,768,0,B1_discriminant_mean_raw,0.9398355790979566,0.6175653275281962,4682
ToxicChat,bge-base-en-v1.5,768,0,B1b_discriminant_mean_whitened,0.9540206275252772,0.6607479883639054,4682
ToxicChat,bge-base-en-v1.5,768,0,B2_contrastive_svd_raw_k20,0.9450190422796605,0.5824462999259472,4682
ToxicChat,bge-base-en-v1.5,768,0,B2b_contrastive_svd_whitened_k20,0.9215883387785877,0.5188181207647549,4682
ToxicChat,bge-base-en-v1.5,768,0,C1_logreg_raw,0.9624289539312157,0.6822974067543369,4682
ToxicChat,bge-base-en-v1.5,768,0,C1b_logreg_whitened,0.9511618690432464,0.6367523872961155,4682
ToxicChat,bge-base-en-v1.5,768,1,A1_naive_cosine_raw,0.884611759815957,0.44148421164206825,4682
ToxicChat,bge-base-en-v1.5,768,1,A1b_cosine_whitened,0.9556070814081621,0.6708755634372149,4682
ToxicChat,bge-base-en-v1.5,768,1,A2_rsfi_svd_raw_k20,0.910953177257525,0.514135854455095,4682
ToxicChat,bge-base-en-v1.5,768,1,A3_rsfi_svd_whitened_k20,0.8218725230537243,0.37927512752229137,4682
ToxicChat,bge-base-en-v1.5,768,1,B1_discriminant_mean_raw,0.9435099174512344,0.5979966011943157,4682
ToxicChat,bge-base-en-v1.5,768,1,B1b_discriminant_mean_whitened,0.9558004040443097,0.6653550408605653,4682
ToxicChat,bge-base-en-v1.5,768,1,B2_contrastive_svd_raw_k20,0.9439738917779882,0.5918505358029076,4682
ToxicChat,bge-base-en-v1.5,768,1,B2b_contrastive_svd_whitened_k20,0.8980742648906761,0.4672570101889374,4682
ToxicChat,bge-base-en-v1.5,768,1,C1_logreg_raw,0.9646872039747133,0.6526281515187385,4682
ToxicChat,bge-base-en-v1.5,768,1,C1b_logreg_whitened,0.9511449533125834,0.6455538264648989,4682
ToxicChat,bge-base-en-v1.5,768,2,A1_naive_cosine_raw,0.8905805962070099,0.4375004997907861,4682
ToxicChat,bge-base-en-v1.5,768,2,A1b_cosine_whitened,0.9500816788137723,0.6893978175997492,4682
ToxicChat,bge-base-en-v1.5,768,2,A2_rsfi_svd_raw_k20,0.9251865563438821,0.5775399023961529,4682
ToxicChat,bge-base-en-v1.5,768,2,A3_rsfi_svd_whitened_k20,0.8778998395422118,0.443316413794666,4682
