dataset,seed,n_test,model,pair,method_1,method_2,auc_1,auc_2,auc_diff,p_value
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.99974375,0.0002562499999999579,0.21825324273540425
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9949125000000001,0.99974375,-0.004831249999999954,0.00023047646037244185
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.99995,4.999999999999449e-05,0.19926960391413573
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
