seed,n_test,cosine_auc,rsfi_k1_auc,rsfi_k2_auc,rsfi_k5_auc,rsfi_k10_auc,rsfi_k20_auc,rsfi_k50_auc,rsfi_k100_auc
0,4682,0.9190538329294309,0.5718376519811926,0.5397869674185464,0.6437711013069866,0.652631061123884,0.7637456243915575,0.85529940553864,0.8776408997700864
1,4682,0.9182693303506699,0.43866898651587655,0.4904668696534725,0.5858862031110834,0.6702344704737049,0.8022043745727956,0.8888750802626401,0.8709428530002693
2,4682,0.9390936017730277,0.5233564282607346,0.5197290747529981,0.613618239814412,0.6692027071811761,0.781193686696079,0.8659070196151535,0.8802584974833778
3,4682,0.918427266513391,0.551984299591955,0.580819300316908,0.606016591064438,0.7062982870399138,0.6797909028770274,0.8509237970960459,0.8496603077942791
4,4682,0.9441553263323598,0.5157703142152903,0.5339614532198264,0.5701236562480582,0.6299245013359847,0.8175992667619463,0.8862678390190353,0.8956792808467449
