dataset,seed,n_test,model,method,roc_auc,pr_auc
AdvBench_BB_Safe,3,1320,all-mpnet-base-v2,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A1_naive_cosine_raw,0.99974375,0.9993103003769679
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,A3_rsfi_svd_whitened_k20,0.9949125000000001,0.9869665831960812
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B2b_contrastive_svd_whitened_k20,0.9906999999999999,0.9662806905251312
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,all-mpnet-base-v2,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.99995,0.9998472814834165
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.9949,0.9877192209101127
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,0.99993125,0.9997815539644501
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.99925,0.9983877866638011
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,0.99996875,0.999905303030303
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.98800625,0.9714948392210528
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,0.999825,0.9994314340252957
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.999825,0.9995009237990081
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.989678125,0.9789965558362702
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.9991468750000001,0.9982486381819053
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,0.9999875,0.9999614197530864
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.9966468749999999,0.9911358991026408
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,A1_naive_cosine_raw,0.999321875,0.998634569286112
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,A2_rsfi_svd_raw_k20,0.999990625,0.9999709752321981
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,A3_rsfi_svd_whitened_k20,0.9960249999999999,0.9887580930019466
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,A1_naive_cosine_raw,0.9996937499999999,0.9991517984589431
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,A3_rsfi_svd_whitened_k20,0.996828125,0.9923609000737551
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,bge-large-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,A1_naive_cosine_raw,0.9994000000000001,0.9983848258619287
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,A3_rsfi_svd_whitened_k20,0.9877937499999999,0.9712475116054436
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B2b_contrastive_svd_whitened_k20,0.99970625,0.9990134890250644
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,bge-large-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,A1_naive_cosine_raw,0.9996343750000001,0.9990518641775842
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,A3_rsfi_svd_whitened_k20,0.994678125,0.9856656511886989
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B2b_contrastive_svd_whitened_k20,0.999921875,0.9997493758955973
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,bge-large-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,A1_naive_cosine_raw,0.999371875,0.9983342101102456
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,A3_rsfi_svd_whitened_k20,0.99485625,0.9882941390292624
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,bge-large-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,A1_naive_cosine_raw,0.9995343750000001,0.9987323500546611
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,A2_rsfi_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,A3_rsfi_svd_whitened_k20,0.994590625,0.9888157606741852
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B2b_contrastive_svd_whitened_k20,0.99999375,0.9999805900621118
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1_raw,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,bge-large-en-v1.5,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,A1_naive_cosine_raw,0.9974531249999999,0.9951421558268212
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,A2_rsfi_svd_raw_k20,0.998809375,0.9976695920303605
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,A3_rsfi_svd_whitened_k20,0.994746875,0.989992272743858
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1_raw,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,0,1320,Qwen3-Embedding-8B,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,A1_naive_cosine_raw,0.9972625,0.9955945696918462
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,A2_rsfi_svd_raw_k20,0.9994749999999999,0.9989130513054798
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,A3_rsfi_svd_whitened_k20,0.993228125,0.9855046599167215
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B2_contrastive_svd_raw_k20,1.0,1.0
