seed,method,roc_auc,pr_auc,latency_ms,n_test
0,RSFI-SVD,0.7462031746031746,0.7145590970050634,0.25738981250469806,1600
0,naive_cosine,0.7768992063492064,0.6994277653541878,0.0030749375036975835,1600
0,kNN_k5,0.7976968253968254,0.7385533155724888,0.005618875002255663,1600
0,ProtectAI-deberta,0.756584126984127,0.685394347827676,6.09124275002614,1600
1,RSFI-SVD,0.7480944444444444,0.7382213785414233,0.25223687500329106,1600
1,naive_cosine,0.7874944444444444,0.7158222938497283,0.003032000004168367,1600
1,kNN_k5,0.8110222222222222,0.7644164205717202,0.005257937482383568,1600
1,ProtectAI-deberta,0.7609547619047619,0.6890145047782005,5.27868006245626,1600
2,RSFI-SVD,0.7846571428571429,0.7441735100936605,0.3038777499932621,1600
2,naive_cosine,0.7802968253968254,0.7095819427030096,0.003146125000057509,1600
2,kNN_k5,0.8065738095238094,0.7541317296942744,0.005422312497103121,1600
2,ProtectAI-deberta,0.7477523809523811,0.6832695701691327,5.618040999961522,1600
