train_ds,target_ds,embedder,method,mean_auc,std_auc
AdvBench,Wild,Qwen3-Embedding-8B,B1_raw,0.7765025,0.027329381796429273
AdvBench,Wild,Qwen3-Embedding-8B,B1b_SigmaT,0.7829824999999999,0.02075380913832444
AdvBench,Wild,Qwen3-Embedding-8B,B1w_SigmaW,0.7857925,0.023407249811757073
AdvBench,Wild,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,0.44645687838016473,0.33480293275543477
AdvBench,Wild,all-mpnet-base-v2,A1_raw,0.5205675,0.022251695160144556
AdvBench,Wild,all-mpnet-base-v2,B1_raw,0.6519524999999999,0.03266780764376452
AdvBench,Wild,all-mpnet-base-v2,B1b_SigmaT,0.6413325,0.027654025475507132
AdvBench,Wild,all-mpnet-base-v2,B1w_SigmaW,0.6539275,0.0321038748634803
AdvBench,Wild,all-mpnet-base-v2,DELONG_B1w_vs_A1,0.0013856833020772733,0.0030826303763530414
AdvBench,Wild,bge-base-en-v1.5,A1_raw,0.5638275,0.024936380613974463
AdvBench,Wild,bge-base-en-v1.5,B1_raw,0.6593075,0.029227903780035265
AdvBench,Wild,bge-base-en-v1.5,B1b_SigmaT,0.64413,0.02592137239566997
AdvBench,Wild,bge-base-en-v1.5,B1w_SigmaW,0.65722,0.029752366765099562
AdvBench,Wild,bge-base-en-v1.5,DELONG_B1w_vs_A1,0.03161593838899962,0.04001222880401168
AdvBench,Wild,bge-large-en-v1.5,A1_raw,0.5900875,0.023675572524756425
AdvBench,Wild,bge-large-en-v1.5,B1_raw,0.6691675,0.03531225730005095
AdvBench,Wild,bge-large-en-v1.5,B1b_SigmaT,0.66611,0.0395169558148778
AdvBench,Wild,bge-large-en-v1.5,B1w_SigmaW,0.6786325,0.044054191237894724
AdvBench,Wild,bge-large-en-v1.5,DELONG_B1w_vs_A1,0.06381523111144805,0.11909299450552989
AdvBench,XSTest,Qwen3-Embedding-8B,A1_raw,0.7759349999999999,0.007009738761180776
AdvBench,XSTest,Qwen3-Embedding-8B,B1_raw,0.8160149999999999,0.005906818094371912
AdvBench,XSTest,Qwen3-Embedding-8B,B1b_SigmaT,0.820775,0.015888567037338507
AdvBench,XSTest,Qwen3-Embedding-8B,B1w_SigmaW,0.8234999999999999,0.012260492955016135
AdvBench,XSTest,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,0.026403376486264462,0.02805744890742192
AdvBench,XSTest,all-mpnet-base-v2,A1_raw,0.758725,0.007228091898973108
AdvBench,XSTest,all-mpnet-base-v2,B1_raw,0.77932,0.006332219200248882
AdvBench,XSTest,all-mpnet-base-v2,B1b_SigmaT,0.748085,0.018243060324408325
AdvBench,XSTest,all-mpnet-base-v2,B1w_SigmaW,0.76338,0.017631234712861175
AdvBench,XSTest,all-mpnet-base-v2,DELONG_B1w_vs_A1,0.40884048012668,0.2807233921803999
AdvBench,XSTest,bge-base-en-v1.5,A1_raw,0.77354,0.006161260017236764
AdvBench,XSTest,bge-base-en-v1.5,B1_raw,0.75996,0.0028879382784263636
AdvBench,XSTest,bge-base-en-v1.5,B1b_SigmaT,0.7139900000000001,0.02571509527495477
AdvBench,XSTest,bge-base-en-v1.5,B1w_SigmaW,0.730715,0.013447148861375791
AdvBench,XSTest,bge-base-en-v1.5,DELONG_B1w_vs_A1,0.05225862530963719,0.0548150318259457
AdvBench,XSTest,bge-large-en-v1.5,A1_raw,0.763445,0.005623483128809069
AdvBench,XSTest,bge-large-en-v1.5,B1_raw,0.768985,0.002717570146288818
AdvBench,XSTest,bge-large-en-v1.5,B1b_SigmaT,0.7115750000000001,0.024187697027621278
AdvBench,XSTest,bge-large-en-v1.5,B1w_SigmaW,0.723855,0.011705079025790517
AdvBench,XSTest,bge-large-en-v1.5,DELONG_B1w_vs_A1,0.07490376835071236,0.07270872993901371
HarmBench,AdvBench,Qwen3-Embedding-8B,A1_raw,0.9724499999999999,0.006765630051961198
HarmBench,AdvBench,Qwen3-Embedding-8B,B1_raw,0.99992,3.708099243544897e-05
HarmBench,AdvBench,Qwen3-Embedding-8B,B1b_SigmaT,0.999615,0.000197325872606725
HarmBench,AdvBench,Qwen3-Embedding-8B,B1w_SigmaW,0.9997,0.00015103807466984928
HarmBench,AdvBench,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,0.00021872679961279805,0.00019045030278685217
HarmBench,AdvBench,all-mpnet-base-v2,A1_raw,0.972705,0.005941469725581399
HarmBench,AdvBench,all-mpnet-base-v2,B1_raw,0.9945,0.0011243053410884257
HarmBench,AdvBench,all-mpnet-base-v2,B1b_SigmaT,0.99649,0.001367662239004972
HarmBench,AdvBench,all-mpnet-base-v2,B1w_SigmaW,0.9973700000000001,0.0013068808285378948
HarmBench,AdvBench,all-mpnet-base-v2,DELONG_B1w_vs_A1,0.0017925855270468274,0.0022840484748403427
HarmBench,AdvBench,bge-base-en-v1.5,A1_raw,0.92727,0.015604340341712594
HarmBench,AdvBench,bge-base-en-v1.5,B1_raw,0.9957049999999998,0.002699328620231308
HarmBench,AdvBench,bge-base-en-v1.5,B1b_SigmaT,0.9957800000000001,0.0015214507878995446
HarmBench,AdvBench,bge-base-en-v1.5,B1w_SigmaW,0.9969300000000001,0.001299326748743353
HarmBench,AdvBench,bge-base-en-v1.5,DELONG_B1w_vs_A1,5.556383280591603e-07,1.1398307176275106e-06
HarmBench,AdvBench,bge-large-en-v1.5,A1_raw,0.9514950000000001,0.013529105199531898
HarmBench,AdvBench,bge-large-en-v1.5,B1_raw,0.9925650000000001,0.003036887798388329
HarmBench,AdvBench,bge-large-en-v1.5,B1b_SigmaT,0.99671,0.0013400792886989878
HarmBench,AdvBench,bge-large-en-v1.5,B1w_SigmaW,0.9972899999999999,0.0012162442188968637
HarmBench,AdvBench,bge-large-en-v1.5,DELONG_B1w_vs_A1,5.435885859942928e-05,7.45765445910472e-05
HarmBench,HarmBench,Qwen3-Embedding-8B,A1_raw,0.842665,0.01026679416858055
HarmBench,HarmBench,Qwen3-Embedding-8B,B1_raw,0.999865,0.00012574776339954486
HarmBench,HarmBench,Qwen3-Embedding-8B,B1b_SigmaT,0.99982,0.00020946360065652822
HarmBench,HarmBench,Qwen3-Embedding-8B,B1w_SigmaW,0.9998699999999999,0.00017266296649831852
HarmBench,HarmBench,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,7.105427357601002e-16,6.161487731364981e-16
HarmBench,HarmBench,all-mpnet-base-v2,A1_raw,0.9459250000000001,0.001750803387019785
HarmBench,HarmBench,all-mpnet-base-v2,B1_raw,0.991615,0.001975601174326477
HarmBench,HarmBench,all-mpnet-base-v2,B1b_SigmaT,0.9983599999999999,0.0006544558808659256
HarmBench,HarmBench,all-mpnet-base-v2,B1w_SigmaW,0.998905,0.0005515319573696678
HarmBench,HarmBench,all-mpnet-base-v2,DELONG_B1w_vs_A1,3.432330357266977e-07,2.754625837466215e-07
HarmBench,HarmBench,bge-base-en-v1.5,A1_raw,0.891615,0.007376029589148911
HarmBench,HarmBench,bge-base-en-v1.5,B1_raw,0.98973,0.0013972517668623097
HarmBench,HarmBench,bge-base-en-v1.5,B1b_SigmaT,0.997155,0.001204730260265732
HarmBench,HarmBench,bge-base-en-v1.5,B1w_SigmaW,0.9979849999999999,0.0011643936190138115
HarmBench,HarmBench,bge-base-en-v1.5,DELONG_B1w_vs_A1,2.8705304799814257e-11,2.9400396069306044e-11
HarmBench,HarmBench,bge-large-en-v1.5,A1_raw,0.9262024999999999,0.008258264799581092
HarmBench,HarmBench,bge-large-en-v1.5,B1_raw,0.99109,0.002104801059482858
HarmBench,HarmBench,bge-large-en-v1.5,B1b_SigmaT,0.998505,0.0004480513363443989
HarmBench,HarmBench,bge-large-en-v1.5,B1w_SigmaW,0.9989000000000001,0.0004952903189039794
HarmBench,HarmBench,bge-large-en-v1.5,DELONG_B1w_vs_A1,2.0254591825974445e-08,1.9827141141128333e-08
HarmBench,ToxicChat,Qwen3-Embedding-8B,A1_raw,0.6610699999999999,0.009714718215161929
HarmBench,ToxicChat,Qwen3-Embedding-8B,B1_raw,0.914565,0.016938672468644098
HarmBench,ToxicChat,Qwen3-Embedding-8B,B1b_SigmaT,0.857655,0.024137033268403166
HarmBench,ToxicChat,Qwen3-Embedding-8B,B1w_SigmaW,0.86344,0.023183834615955988
HarmBench,ToxicChat,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,9.304466259685286e-08,1.4755778922620328e-07
HarmBench,ToxicChat,all-mpnet-base-v2,A1_raw,0.8313600000000001,0.028057210525994875
HarmBench,ToxicChat,all-mpnet-base-v2,B1_raw,0.859375,0.01749288248116929
HarmBench,ToxicChat,all-mpnet-base-v2,B1b_SigmaT,0.778625,0.021471783810387116
HarmBench,ToxicChat,all-mpnet-base-v2,B1w_SigmaW,0.793875,0.01902337378069411
HarmBench,ToxicChat,all-mpnet-base-v2,DELONG_B1w_vs_A1,0.2766132046551143,0.2945648881070814
HarmBench,ToxicChat,bge-base-en-v1.5,A1_raw,0.6894699999999999,0.021414308884481897
HarmBench,ToxicChat,bge-base-en-v1.5,B1_raw,0.7221949999999999,0.02453331535891549
HarmBench,ToxicChat,bge-base-en-v1.5,B1b_SigmaT,0.6871,0.029654299856850464
HarmBench,ToxicChat,bge-base-en-v1.5,B1w_SigmaW,0.7116,0.0276289476817341
HarmBench,ToxicChat,bge-base-en-v1.5,DELONG_B1w_vs_A1,0.45313572951889025,0.261732118785359
HarmBench,ToxicChat,bge-large-en-v1.5,A1_raw,0.74886,0.014247089615075769
HarmBench,ToxicChat,bge-large-en-v1.5,B1_raw,0.7645799999999999,0.014698590493649457
HarmBench,ToxicChat,bge-large-en-v1.5,B1b_SigmaT,0.781025,0.017878714648989723
HarmBench,ToxicChat,bge-large-en-v1.5,B1w_SigmaW,0.797475,0.010222126735665067
HarmBench,ToxicChat,bge-large-en-v1.5,DELONG_B1w_vs_A1,0.14897280916293432,0.2534995589894373
HarmBench,Wild,Qwen3-Embedding-8B,A1_raw,0.7367825,0.052011627756444995
HarmBench,Wild,Qwen3-Embedding-8B,B1_raw,0.7646625,0.021057868556076585
HarmBench,Wild,Qwen3-Embedding-8B,B1b_SigmaT,0.6938375000000001,0.03587136741190674
