dataset,model,seed,n_ref_mal,n_ref_safe,n_test,auc_B1_raw,auc_RSFI_single,delta_auc
ToxicChat,all-mpnet-base-v2,0,200,200,4682,0.944610648210799,0.05492537746244708,-0.8896852707483519
ToxicChat,all-mpnet-base-v2,1,200,200,4682,0.9490232373808649,0.05323501266263267,-0.8957882247182323
ToxicChat,all-mpnet-base-v2,2,200,200,4682,0.9554173835714423,0.04485930945154368,-0.9105580741198986
ToxicChat,all-mpnet-base-v2,3,200,200,4682,0.9494618381116244,0.052268399481895336,-0.8971934386297291
ToxicChat,all-mpnet-base-v2,4,200,200,4682,0.9559296885572333,0.04497651129970808,-0.9109531772575252
ToxicChat,bge-base-en-v1.5,0,200,200,4682,0.9398355790979566,0.06197198755002223,-0.8778635915479344
ToxicChat,bge-base-en-v1.5,1,200,200,4682,0.9435099174512344,0.054977332920911705,-0.8885325845303227
ToxicChat,bge-base-en-v1.5,2,200,200,4682,0.9567428518955283,0.044057020511531694,-0.9126858313839966
ToxicChat,bge-base-en-v1.5,3,200,200,4682,0.9469474355752315,0.055479971774895116,-0.8914674638003364
ToxicChat,bge-base-en-v1.5,4,200,200,4682,0.9492866394726158,0.05085714423801883,-0.898429495234597
ToxicChat,bge-large-en-v1.5,0,200,200,4682,0.945382730488913,0.05757027277823961,-0.8878124577106734
ToxicChat,bge-large-en-v1.5,1,200,200,4682,0.9513467338140622,0.04936372687377965,-0.9019830069402826
ToxicChat,bge-large-en-v1.5,2,200,200,4682,0.9596281922400295,0.04193651284628917,-0.9176916793937403
ToxicChat,bge-large-en-v1.5,3,200,200,4682,0.9506278152608889,0.05259463143039418,-0.8980331838304947
ToxicChat,bge-large-en-v1.5,4,200,200,4682,0.9508187213640845,0.05063965627235292,-0.9001790650917316
Wild,all-mpnet-base-v2,0,200,200,1600,0.87066875,0.136121875,-0.7345468749999999
Wild,all-mpnet-base-v2,1,200,200,1600,0.8709398437500001,0.13578359375000001,-0.7351562500000001
Wild,all-mpnet-base-v2,2,200,200,1600,0.8649875,0.1421078125,-0.7228796875
Wild,all-mpnet-base-v2,3,200,200,1600,0.85695703125,0.15088671874999998,-0.7060703125000001
Wild,all-mpnet-base-v2,4,200,200,1600,0.8703414062500001,0.13504296875,-0.7352984375000001
Wild,bge-base-en-v1.5,0,200,200,1600,0.8679203125,0.13544374999999997,-0.7324765625
Wild,bge-base-en-v1.5,1,200,200,1600,0.8619921875000001,0.1394578125,-0.7225343750000001
Wild,bge-base-en-v1.5,2,200,200,1600,0.8603132812500001,0.14032578125,-0.7199875
Wild,bge-base-en-v1.5,3,200,200,1600,0.8543999999999999,0.148146875,-0.7062531249999999
Wild,bge-base-en-v1.5,4,200,200,1600,0.86432734375,0.13681015624999998,-0.7275171874999999
Wild,bge-large-en-v1.5,0,200,200,1600,0.878059375,0.12880468750000001,-0.7492546874999999
Wild,bge-large-en-v1.5,1,200,200,1600,0.8696125,0.133075,-0.7365375000000001
Wild,bge-large-en-v1.5,2,200,200,1600,0.8707625,0.13123593749999998,-0.7395265625
Wild,bge-large-en-v1.5,3,200,200,1600,0.865446875,0.13905937499999999,-0.7263875
Wild,bge-large-en-v1.5,4,200,200,1600,0.8757343750000002,0.1271625,-0.7485718750000001
XSTest,all-mpnet-base-v2,0,66,83,301,0.8154437393868978,0.18598623648225934,-0.6294575029046385
XSTest,all-mpnet-base-v2,1,66,83,301,0.7628474394494593,0.2441236929126821,-0.5187237465367772
XSTest,all-mpnet-base-v2,2,66,83,301,0.7757172222718741,0.22781303065510766,-0.5479041916167664
XSTest,all-mpnet-base-v2,3,66,83,301,0.7772365716328536,0.22495307891679328,-0.5522834927160604
XSTest,all-mpnet-base-v2,4,66,83,301,0.7943515953168291,0.20962552506926446,-0.5847260702475646
XSTest,bge-base-en-v1.5,0,66,83,301,0.8092322817052463,0.18830994726963984,-0.6209223344356065
XSTest,bge-base-en-v1.5,1,66,83,301,0.7384037894360532,0.262758065957637,-0.4756457234784162
XSTest,bge-base-en-v1.5,2,66,83,301,0.782286173920815,0.21708821163642864,-0.5651979622843863
XSTest,bge-base-en-v1.5,3,66,83,301,0.773482884976316,0.22437215121994813,-0.5491107337563679
XSTest,bge-base-en-v1.5,4,66,83,301,0.7839395835195281,0.21543480203771562,-0.5685047814818125
XSTest,bge-large-en-v1.5,0,66,83,301,0.8128965948699616,0.18683528465457144,-0.6260613102153901
XSTest,bge-large-en-v1.5,1,66,83,301,0.7447046206095272,0.25694878898918583,-0.4877558316203414
XSTest,bge-large-en-v1.5,2,66,83,301,0.7738850656895165,0.22441683796585932,-0.5494682277236572
XSTest,bge-large-en-v1.5,3,66,83,301,0.7768343909196533,0.2219590669407454,-0.5548753239789079
XSTest,bge-large-en-v1.5,4,66,83,301,0.7981946554651892,0.20162659755116633,-0.5965680579140229
